,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson,Iter
41,server,8,180000,88.0,88.0,88.0,88.0,88.0,1213586.0,1213586.0,1213735.0,1213735.0,1213735.0,13495.0,13495.0,13562.0,13562.0,13562.0,63.0,95.0,124.0,157.0,255.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
42,client,8,40000,400.0,400.0,400.0,400.0,400.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,60931.0,60931.0,61070.0,61209.0,61209.0,11.0,14.0,15.0,18.0,21.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
43,client,8,80000,200.0,200.0,200.0,200.0,200.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,30520.0,30520.0,30520.0,30672.0,30672.0,13.0,14.0,16.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
44,client,8,120000,133.0,133.0,133.0,133.0,133.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,20347.0,20347.0,20393.0,20439.0,20439.0,13.0,14.0,16.0,18.0,21.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
45,client,8,160000,100.0,100.0,100.0,100.0,100.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,15333.0,15333.0,15415.0,15415.0,15415.0,11.0,14.0,17.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
46,client,8,200000,80.0,80.0,80.0,80.0,80.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,12295.0,12295.0,12319.5,12344.0,12344.0,13.0,14.0,17.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
47,client,8,240000,66.0,66.0,66.0,66.0,66.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,10161.0,10161.0,10187.0,10213.0,10213.0,12.0,14.0,17.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
48,client,8,280000,57.0,57.0,57.0,57.0,57.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,8795.0,8795.0,8795.0,8841.0,8841.0,12.0,14.0,17.0,18.0,23.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
49,client,8,320000,50.0,50.0,50.0,50.0,50.0,1214015.0,1214015.0,1214020.0,1214020.0,1214020.0,7729.0,7729.0,7767.0,7767.0,7767.0,13.0,14.0,17.0,19.0,25.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
50,client,8,360000,44.0,44.0,44.0,44.0,44.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,6824.0,6824.0,6857.0,6857.0,6857.0,13.0,14.0,17.0,19.0,25.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
51,client,8,400000,40.0,40.0,40.0,40.0,40.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,6213.0,6213.0,6229.0,6245.0,6245.0,13.0,14.0,17.0,20.0,25.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
52,client,8,680000,23.0,23.0,23.0,23.0,23.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,3633.0,3633.0,3633.0,3648.0,3648.0,13.0,15.0,18.0,22.0,31.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
53,client,8,760000,21.0,21.0,21.0,21.0,21.0,1213945.0,1213945.0,1214019.0,1214019.0,1214019.0,3331.0,3331.0,3342.0,3342.0,3342.0,12.0,14.0,17.0,21.0,32.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
54,client,8,10000,1600.0,1600.0,1600.0,1600.0,1600.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,243317.0,243317.0,243867.5,244418.0,244418.0,13.0,14.0,17.0,18.0,23.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
